ticker,sector,earnings_date,stock_price,baseline_vol_1d,raw_return,realized_move,earnings_multiplier,vix_regime,is_positive
AAPL,Information Technology,2025-10-30,269.4388122558594,1.4114775477003394,-0.8658781431556684,0.8658781431556684,0.6134551304527706,Medium,False
AAPL,Information Technology,2025-07-31,208.6107940673828,0.7090769664137296,-2.0330499439841447,2.0330499439841447,2.867178092480737,Medium,False
AAPL,Information Technology,2025-05-01,211.7758331298828,1.9844745154190664,-6.7644868852663755,6.7644868852663755,3.408704335937467,Medium,False
AAPL,Information Technology,2025-01-30,238.28231811523438,2.2605391277841385,-4.032155675086474,4.032155675086474,1.783714170450541,Medium,False
MSFT,Information Technology,2025-10-29,541.057373046875,0.98535220722506,-4.38371848810661,4.38371848810661,4.4488848311935065,Medium,False
MSFT,Information Technology,2025-07-30,510.7727966308594,0.5674342131957886,2.1179100274003995,2.1179100274003995,3.7324327263813255,Medium,True
MSFT,Information Technology,2025-04-30,391.9388732910156,2.0329889093046236,10.12498354397051,10.12498354397051,4.980343718369681,Medium,True
MSFT,Information Technology,2025-01-29,443.9252624511719,1.857560755063108,-6.1650814827860545,6.1650814827860545,3.3189124317910155,Medium,False
GOOGL,Communication Services,2025-10-29,267.295166015625,1.8400486976276078,2.41103857993162,2.41103857993162,1.310312375449734,Medium,True
GOOGL,Communication Services,2025-07-23,191.04405212402344,1.142575623335993,1.5507529103328979,1.5507529103328979,1.3572431256717559,Medium,True
GOOGL,Communication Services,2025-04-24,154.92218017578125,3.598578689010607,0.8350187601598721,0.8350187601598721,0.2320412674898189,Medium,True
GOOGL,Communication Services,2025-02-04,200.44496154785156,1.8850298631842972,-7.161551230516318,7.161551230516318,3.7991712335095995,Medium,False
AMZN,Consumer Discretionary,2025-10-30,230.3000030517578,1.37863710445684,13.972897471221682,13.972897471221682,10.135297698031108,Medium,True
AMZN,Consumer Discretionary,2025-07-31,230.19000244140625,0.8986753204593471,-9.59378354419349,9.59378354419349,10.675472360017347,Medium,False
